name,team,reason,opta_id,fotmob_id,whoscored_id
Asier Villalibre,Racing de Santander,"legend row has this fotmob_id but no opta_id yet (team matches, looks like a real player just missing the Opta link)",,670031.0,
Asier Villalibre,Racing de Santander,opta_id not found in legend,212770.0,,
Bil Nsongo,Deportivo de A Coruña,opta_id not found in legend,711110.0,,
Bil Nsongo,Deportivo de La Coruña,"legend row has this fotmob_id but no opta_id yet (team matches, looks like a real player just missing the Opta link)",,1690831.0,
Bright Ede,Deportivo de A Coruña,opta_id not found in legend,679125.0,,
Bright Ede,Deportivo de La Coruña,"legend row has this fotmob_id but no opta_id yet (team matches, looks like a real player just missing the Opta link)",,1711969.0,
Carlos Dotor,Málaga,"legend row has this fotmob_id but no opta_id yet (team matches, looks like a real player just missing the Opta link)",,1209421.0,
Carlos Dotor,Málaga,opta_id not found in legend,448178.0,,
Carlos López,Málaga,"legend row has this fotmob_id but no opta_id yet (team matches, looks like a real player just missing the Opta link)",,1426161.0,
Carlos Puga,Málaga,opta_id not found in legend,562075.0,,
Carlos Puga,Málaga,"legend row has this fotmob_id but no opta_id yet (team matches, looks like a real player just missing the Opta link)",,1668274.0,
Carlos Sanchez,Racing de Santander,"legend row has this fotmob_id but no opta_id yet (team matches, looks like a real player just missing the Opta link)",,1910947.0,
Carlos Sánchez,Racing de Santander,opta_id not found in legend,720621.0,,
Cheikh Tidiane Thiam,Villarreal,"legend row has this fotmob_id but no opta_id yet (team matches, looks like a real player just missing the Opta link)",,2141015.0,
Chupe,Málaga,opta_id not found in legend,620045.0,,
Chupe,Málaga,"legend row has this fotmob_id but no opta_id yet (team matches, looks like a real player just missing the Opta link)",,1669622.0,
Cristian Rivero,Valencia CF,"fotmob_id not found in legend, name absent entirely",,913464.0,
Dani Lorenzo,Málaga,opta_id not found in legend,561391.0,,
Dani Lorenzo,Málaga,"legend row has this fotmob_id but no opta_id yet (team matches, looks like a real player just missing the Opta link)",,1317624.0,
David Larrubia,Málaga,"legend row has this fotmob_id but no opta_id yet (team matches, looks like a real player just missing the Opta link)",,1108863.0,
David Larrubia,Málaga,opta_id not found in legend,495391.0,,
David Mella,Deportivo de A Coruña,opta_id not found in legend,554651.0,,
David Mella,Deportivo de La Coruña,"legend row has this fotmob_id but no opta_id yet (team matches, looks like a real player just missing the Opta link)",,1368655.0,
Diego Díaz,Racing de Santander,opta_id not found in legend,664923.0,,
Diego Díaz,Racing de Santander,"legend row has this fotmob_id but no opta_id yet (team matches, looks like a real player just missing the Opta link)",,1693550.0,
Diego Ferrer,Getafe,"fotmob_id not found in legend, name absent entirely",,1669215.0,
Diego Villares,Deportivo de La Coruña,"legend row has this fotmob_id but no opta_id yet (team matches, looks like a real player just missing the Opta link)",,988178.0,
Diego Villares,Deportivo de A Coruña,opta_id not found in legend,562005.0,,
Eder Aller,Barcelona,"fotmob_id not found in legend, name absent entirely",,1818299.0,
Einar Galilea,Málaga,opta_id not found in legend,138041.0,,
Einar Galilea,Málaga,"legend row has this fotmob_id but no opta_id yet (team matches, looks like a real player just missing the Opta link)",,516803.0,
Eneko Jauregi,Málaga,opta_id not found in legend,216473.0,,
Eneko Jauregi,Málaga,"legend row has this fotmob_id but no opta_id yet (team matches, looks like a real player just missing the Opta link)",,722830.0,
Enrique Barja,Osasuna,"fotmob_id not found in legend, name absent entirely",,574624.0,
Facu González,Racing de Santander,opta_id not found in legend,564895.0,,
Facundo González,Racing de Santander,"legend row has this fotmob_id but no opta_id yet (team matches, looks like a real player just missing the Opta link)",,1212179.0,
Flavien Boyomo,Osasuna,"fotmob_id not found in legend, name absent entirely",,1187734.0,
Fran García (Real Betis),Real Betis,confirmed two distinct real players sharing this name (Real Madrid + Real Betis). Real Madrid's is in the legend; Real Betis's is not.,,,
Fran González,Sevilla,"fotmob_id not found in legend, name absent entirely",,1484851.0,
Germán Parreno,Deportivo de La Coruña,"legend row has this fotmob_id but no opta_id yet (team matches, looks like a real player just missing the Opta link)",,416409.0,
Giacomo Quagliata,Deportivo de A Coruña,opta_id not found in legend,456504.0,,
Giacomo Quagliata,Deportivo de La Coruña,"legend row has this fotmob_id but no opta_id yet (team matches, looks like a real player just missing the Opta link)",,1077977.0,
Gustavo Puerta,Racing de Santander,"legend row has this fotmob_id but no opta_id yet (team matches, looks like a real player just missing the Opta link)",,1331597.0,
Gustavo Puerta,Racing de Santander,opta_id not found in legend,560564.0,,
Haitam Abaida,Málaga,opta_id not found in legend,482236.0,,
Haitam Abaida,Málaga,"legend row has this fotmob_id but no opta_id yet (team matches, looks like a real player just missing the Opta link)",,1220748.0,
Hugo Perez,Racing de Santander,"legend row has this fotmob_id but no opta_id yet (team matches, looks like a real player just missing the Opta link)",,2156233.0,
Hugo Pérez,Racing de Santander,opta_id not found in legend,730982.0,,
Izan Merino,Málaga,opta_id not found in legend,620616.0,,
Izan Merino,Málaga,"legend row has this fotmob_id but no opta_id yet (team matches, looks like a real player just missing the Opta link)",,1669619.0,
Iñigo Vicente,Racing de Santander,opta_id not found in legend,242833.0,,
Iñigo Vicente,Racing de Santander,"legend row has this fotmob_id but no opta_id yet (team matches, looks like a real player just missing the Opta link)",,889229.0,
Javi Morcillo,Elche,"fotmob_id not found in legend, name absent entirely",,1732412.0,
Javier Guerra,Valencia CF,"fotmob_id not found in legend, name absent entirely",,1284429.0,
Jirí Letácek,Getafe,"fotmob_id not found in legend, name absent entirely",,1178641.0,
Joaquín Muñoz,Málaga,opta_id not found in legend,437831.0,,
Joaquín Muñoz,Málaga,"legend row has this fotmob_id but no opta_id yet (team matches, looks like a real player just missing the Opta link)",,951739.0,
Jonathan Asp,Deportivo de La Coruña,"legend row has this fotmob_id but no opta_id yet (team matches, looks like a real player just missing the Opta link)",,1621150.0,
Jonathan Asp Jensen,Deportivo de A Coruña,opta_id not found in legend,568404.0,,
Jorge Castellanos,Racing de Santander,"legend row has this fotmob_id but no opta_id yet (team matches, looks like a real player just missing the Opta link)",,1553409.0,
Jorge Castellanos,Racing de Santander,opta_id not found in legend,621929.0,,
Jorge Salinas,Racing de Santander,opta_id not found in legend,658061.0,,
Jorge Salinas,Racing de Santander,"legend row has this fotmob_id but no opta_id yet (team matches, looks like a real player just missing the Opta link)",,1670161.0,
Joseph Otu,Málaga,"legend row has this fotmob_id but no opta_id yet (team matches, looks like a real player just missing the Opta link)",,1810991.0,
Joseph Otu,Málaga,opta_id not found in legend,746342.0,,
Juan Carlos Arana,Racing de Santander,opta_id not found in legend,553751.0,,
Juan Carlos Arana,Racing de Santander,"legend row has this fotmob_id but no opta_id yet (team matches, looks like a real player just missing the Opta link)",,1225417.0,
Juan Cruz,Málaga,opta_id not found in legend,451281.0,,
Juan Cruz,Málaga,"legend row has this fotmob_id but no opta_id yet (team matches, looks like a real player just missing the Opta link)",,940608.0,
Juan Fernandez,Málaga,"legend row has this fotmob_id but no opta_id yet (team matches, looks like a real player just missing the Opta link)",,1839193.0,
Juan Hernández,Real Betis,"fotmob_id not found in legend, name absent entirely",,852071.0,
Juan Musso,Atlético de Madrid,"legend row has this fotmob_id but no opta_id yet (team matches, looks like a real player just missing the Opta link)",,389050.0,
Juani,Málaga,opta_id not found in legend,706221.0,,
Julen Lobete,Málaga,"legend row has this fotmob_id but no opta_id yet (team matches, looks like a real player just missing the Opta link)",,1098594.0,
Julen Lobete,Málaga,opta_id not found in legend,495392.0,,
Kang-In Lee,Atlético de Madrid,"legend row has this fotmob_id but no opta_id yet (team matches, looks like a real player just missing the Opta link)",,940976.0,
Kevin Sánchez,Deportivo de A Coruña,opta_id not found in legend,568601.0,,
Llorenç Serred,Espanyol,"fotmob_id not found in legend, name absent entirely",,1624106.0,
Lorenzo Amatucci,Deportivo de La Coruña,"legend row has this fotmob_id but no opta_id yet (team matches, looks like a real player just missing the Opta link)",,1425989.0,
Lorenzo Amatucci,Deportivo de A Coruña,opta_id not found in legend,607463.0,,
Lucas Noubi,Deportivo de La Coruña,"legend row has this fotmob_id but no opta_id yet (team matches, looks like a real player just missing the Opta link)",,1332025.0,
Lucas Noubi,Deportivo de A Coruña,opta_id not found in legend,543316.0,,
Luismi Cruz,Deportivo de La Coruña,"legend row has this fotmob_id but no opta_id yet (team matches, looks like a real player just missing the Opta link)",,1204447.0,
Luismi Cruz,Deportivo de A Coruña,opta_id not found in legend,546000.0,,
Maguette Gueye,Racing de Santander,opta_id not found in legend,572069.0,,
Maguette Gueye,Racing de Santander,"legend row has this fotmob_id but no opta_id yet (team matches, looks like a real player just missing the Opta link)",,1363232.0,
Manu,Racing de Santander,"legend row has this fotmob_id but no opta_id yet (team matches, looks like a real player just missing the Opta link)",,863169.0,
Manu González,Real Betis,"fotmob_id not found in legend, name absent entirely",,1674892.0,
Manu Hernando,Racing de Santander,opta_id not found in legend,179372.0,,
Manuel Sánchez,Levante,"fotmob_id not found in legend, name absent entirely",,1052330.0,
Mario Soriano,Deportivo de A Coruña,opta_id not found in legend,488042.0,,
Mario Soriano,Deportivo de La Coruña,"legend row has this fotmob_id but no opta_id yet (team matches, looks like a real player just missing the Opta link)",,1050828.0,
Miguel Loureiro,Deportivo de La Coruña,"legend row has this fotmob_id but no opta_id yet (team matches, looks like a real player just missing the Opta link)",,800891.0,
Miguel Loureiro,Deportivo de A Coruña,opta_id not found in legend,429213.0,,
Pablo Campos,Levante,"fotmob_id not found in legend, name absent entirely",,1237455.0,
Pedro Felipe,Racing de Santander,opta_id not found in legend,617105.0,,
Pierre-Emerick Aubameyang,Deportivo de A Coruña,opta_id not found in legend,54694.0,,
Pierre-Emerick Aubameyang,Deportivo de La Coruña,"legend row has this fotmob_id but no opta_id yet (team matches, looks like a real player just missing the Opta link)",,150565.0,
Péter Gulácsi,Villarreal,"legend row has this fotmob_id but no opta_id yet (team matches, looks like a real player just missing the Opta link)",,151001.0,
Rafa Fernández,Osasuna,"fotmob_id not found in legend, name absent entirely",,1762938.0,
Rafa Rodríguez,Málaga,"legend row has this fotmob_id but no opta_id yet (team matches, looks like a real player just missing the Opta link)",,1434474.0,
Rafa Rodríguez,Málaga,opta_id not found in legend,608484.0,,
Rafa Romero,Sevilla,"fotmob_id not found in legend, name absent entirely",,1203891.0,
Rafita,Málaga,"legend row has this fotmob_id but no opta_id yet (team matches, looks like a real player just missing the Opta link)",,1717331.0,
Rafita,Málaga,opta_id not found in legend,640504.0,,
Ramón Enríquez,Málaga,"legend row has this fotmob_id but no opta_id yet (team matches, looks like a real player just missing the Opta link)",,1082957.0,
Ramón Enríquez,Málaga,opta_id not found in legend,490733.0,,
Riki Rodríguez,Deportivo de La Coruña,"legend row has this fotmob_id but no opta_id yet (team matches, looks like a real player just missing the Opta link)",,970566.0,
Riki Rodríguez,Deportivo de A Coruña,opta_id not found in legend,464470.0,,
Sergio Canales,Racing de Santander,opta_id not found in legend,56448.0,,
Sergio Canales,Racing de Santander,"legend row has this fotmob_id but no opta_id yet (team matches, looks like a real player just missing the Opta link)",,150649.0,
Sergio Martínez,Racing de Santander,"legend row has this fotmob_id but no opta_id yet (team matches, looks like a real player just missing the Opta link)",,1791769.0,
Sergio Martínez,Racing de Santander,opta_id not found in legend,704740.0,,
Sergio Mestre,Real Madrid,"fotmob_id not found in legend, name absent entirely",,1405014.0,
Simon Eriksson,Racing de Santander,"legend row has this fotmob_id but no opta_id yet (team matches, looks like a real player just missing the Opta link)",,1441736.0,
Teun Gijselhart,Deportivo de A Coruña,opta_id not found in legend,560616.0,,
Teun Gijselhart,Deportivo de La Coruña,"legend row has this fotmob_id but no opta_id yet (team matches, looks like a real player just missing the Opta link)",,1466558.0,
Umaru Konare,Elche,"legend row has this fotmob_id but no opta_id yet (team matches, looks like a real player just missing the Opta link)",,1859341.0,
Unai Marrero,Real Sociedad,"legend row has this fotmob_id but no opta_id yet (team matches, looks like a real player just missing the Opta link)",,1217043.0,
Wojciech Szczesny,Barcelona,"legend row has this fotmob_id but no opta_id yet (team matches, looks like a real player just missing the Opta link)",,169718.0,
Ximo Navarro,Deportivo de A Coruña,opta_id not found in legend,90728.0,,
Ximo Navarro,Deportivo de La Coruña,"legend row has this fotmob_id but no opta_id yet (team matches, looks like a real player just missing the Opta link)",,260659.0,
Yassir Zabiri,Racing de Santander,"legend row has this fotmob_id but no opta_id yet (team matches, looks like a real player just missing the Opta link)",,1640985.0,
Yassir Zabiri,Racing de Santander,opta_id not found in legend,652987.0,,
Yeremay Hernández,Deportivo de A Coruña,opta_id not found in legend,523890.0,,
Yeremay Hernández,Deportivo de La Coruña,"legend row has this fotmob_id but no opta_id yet (team matches, looks like a real player just missing the Opta link)",,1319204.0,
Zakaria Eddahchouri,Deportivo de La Coruña,"legend row has this fotmob_id but no opta_id yet (team matches, looks like a real player just missing the Opta link)",,1029029.0,
Zakaria Eddahchouri,Deportivo de A Coruña,opta_id not found in legend,479491.0,,
Álex Calatrava,Espanyol,"legend row has this fotmob_id but no opta_id yet (team matches, looks like a real player just missing the Opta link)",,1300457.0,
Álex Padilla,Athletic Club,"legend row has this fotmob_id but no opta_id yet (team matches, looks like a real player just missing the Opta link)",,1401997.0,
Álex Pastor,Málaga,opta_id not found in legend,521429.0,,
Álex Pastor,Málaga,"legend row has this fotmob_id but no opta_id yet (team matches, looks like a real player just missing the Opta link)",,1256463.0,
Álvaro Fernández,Deportivo de La Coruña,"legend row has this fotmob_id but no opta_id yet (team matches, looks like a real player just missing the Opta link)",,796781.0,
Álvaro Mantilla,Racing de Santander,"legend row has this fotmob_id but no opta_id yet (team matches, looks like a real player just missing the Opta link)",,1199649.0,
Álvaro Mantilla,Racing de Santander,opta_id not found in legend,500285.0,,
Ángel Fortuno,Espanyol,"legend row has this fotmob_id but no opta_id yet (team matches, looks like a real player just missing the Opta link)",,1184772.0,
Ángel Recio,Málaga,opta_id not found in legend,539602.0,,
Ángel Recio,Málaga,"legend row has this fotmob_id but no opta_id yet (team matches, looks like a real player just missing the Opta link)",,1260010.0,
Íñigo Sainz-Maza,Racing de Santander,opta_id not found in legend,464168.0,,
Íñigo Sainz-Maza,Racing de Santander,"legend row has this fotmob_id but no opta_id yet (team matches, looks like a real player just missing the Opta link)",,1168852.0,
